,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,20.69368586177104,,,,,,,
1,PLF,1.014,3.7456908264393074,20.077213852231143,75.20303574676238,0.001,11.144924490093183,0.09679365584115222,465.2497924749826,465.34658613082377,0.12496905221085988
2,Payload,1.014,30,19.91168586177104,597.3505758531312,0.0,10.979396499633081,1.1054275,3616.4144248846546,3617.5198523846548,1.1343750000000001
3,PAF, ,7,19.67968586177104,137.75780103239728,0.0,10.747396499633082,0.2646875,808.545720642278,808.810408142278,0.529375
17,Forward Skirt 2,0.32083333333333336,1.4967725498946876,19.519269195104375,29.2159063252372,0.001,10.586979832966415,0.06943578097854915,167.76446699960744,167.833902780586,0.11319342408578577
18,Avionics 2, ,0.84,19.519269195104375,16.396186123887674,0.0,10.586979832966415,0.031762500000000006,94.15067926625558,94.18244176625558,0.06352500000000001
19,Wiring 2,2.4589921038848916,2.75084392597316,0,0,0.0,0,1.3861140731281487,0.0,1.3861140731281487,0
20,Fuel Dome Top 2,0.1375,0.9181355812166575,19.417209340904737,17.82763078381708,0.001,10.484919978766778,0.031245301498279383,100.93390103437748,100.96514633587576,0.01840001088232008
21,Fuel Cylinder 2,0.5598718269551083,2.7086893965116587,19.078916614960153,51.67885913187268,0.001,10.146627252822194,0.17317700085239437,278.8705289569034,279.0437059577558,0.20484463561119423
22,Fuel Dome Bottom 2,0.1375,0.9181355812166575,18.74062388901557,17.206433606704085,0.001,9.80833452687761,0.031245301498279383,88.32778862103562,88.3590339225339,0.01840001088232008
23,Fuel Insulation 2,0.8348718269551083,1.822853824176859,19.078916614960153,34.77807611273153,0.0,10.146627252822194,0.046457406997710664,187.67017392764652,187.71663133464423,0.051945413350052615
24,Fuel Residual 2, ,1.443853004487545,18.730230701482597,27.043699873080506,0.0,9.797941339344638,0,138.60938956405337,138.60938956405337,0
25,Intertank 2,0.41250000000000003,1.9244218498645982,18.592730701482598,35.780257210581446,0.001,9.660441339344638,0.10005490164725706,179.59498886993208,179.69504377157935,0.14553440239601026
26,Ox Dome Top 2,0.1375,0.9181355812166575,18.444837513949626,16.934861611316947,0.001,9.512548151811666,0.031245301498279383,83.08077795934315,83.11202326084143,0.01840001088232008
27,Ox Cylinder 2,0.8449536102631167,4.087930084125243,17.964003896351038,73.43559195923649,0.001,9.031714534213078,0.3977885062137435,333.46009087521765,333.8578793814314,0.30914971261197155
28,Ox Dome Bottom 2,0.1375,0.9181355812166575,17.48317027875245,16.051920705392174,0.001,8.55088091661449,0.031245301498279383,67.13183753355905,67.16308283505732,0.01840001088232008
29,Ox Insulation 2,1.1199536102631167,2.376027857101879,17.964003896351038,42.68297368281676,0.0,9.031714534213078,0.11397424022518737,193.8170293635988,193.931003603824,0.08784613481921728
30,Ox Residual 2, ,5.125678165930784,17.472777091219477,89.55983203463927,0.0,8.540487729081518,0,373.8666099602449,373.8666099602449,0
31,Pressurant Tank 2,0.27496223007113335,0.6412977553248245,17.964003896351038,11.520275375376322,0.001,9.031714534213078,0.048498142746439855,52.311855478920016,52.360353621666455,0.03233209516429324
32,Aft Skirt 2,0.32083333333333336,1.4967725498946876,17.381110424552812,26.01556897015905,0.001,8.448821062414853,0.06943578097854915,106.84348231028862,106.91291809126717,0.11319342408578577
33,Thrust Structure 2,0.16041666666666668,0.9702538265263181,17.300902091219477,16.786266456362878,0.0,8.368612729081518,0,67.95044504453307,67.95044504453307,0
34,Gimballs 2, ,0.05284261287635648,17.58169233543342,0.929062561792512,0.0,8.64940297329546,0,3.953270632573721,3.953270632573721,0
35,Engines 2,0.3609985775472779,25.83180430797633,17.289443757886144,446.61752774747777,0.0,8.357154395748184,0,1804.1456409537398,1804.1456409537398,0
36,Fuel 2,0.8348718269551083,72.45105418841655,19.065329408517744,1381.3032140965308,0.0,10.133040046379785,0,7439.165609618256,7439.165609618256,0
37,Oxidizer 2,1.1199536102631167,257.2012423688787,17.92346493033963,4609.937447638381,0.0,8.99117556820167,0,20792.46687350222,20792.46687350222,0
4,Nose Cone 1,,,,,,,,,,
