,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,14.77552291022091,,,,,,,
1,PLF,1.2,5.70737772545165,14.031218363265028,80.08146314744698,0.001,8.312232663938435,0.21891748767655514,394.3410583465085,394.559975834185,0.30418420568524407
2,Payload,1.2,95,13.805522910220912,1311.5246764709866,0.0,8.08653721089432,4.926541666666667,6212.2479860019575,6217.174527668624,6.50275
3,PAF, ,14,13.805522910220912,193.27732074309276,0.0,8.08653721089432,0.9582999999999999,915.489176884499,916.447476884499,1.9165999999999999
46,Forward Skirt 3,0.43166666666666664,2.819917651405876,13.359689576887577,37.67322445516838,0.001,7.640703877560985,0.23681107064011128,164.6277956594828,164.86460673012292,0.3860467264774644
47,Avionics 3, ,0.84,13.359689576887577,11.222139244585565,0.0,7.640703877560985,0.057497999999999994,49.039498825443395,49.0969968254434,0.11499599999999999
48,Wiring 3,1.6983287985733901,2.49424118974222,0,0,0.0,0,0.5995159595399177,0.0,0.5995159595399177,0
49,Fuel Dome Top 3,0.185,1.6679889426335521,13.222372682146245,22.05477142919988,0.001,7.503386982819653,0.10275645881093996,93.9091389061081,94.01189536491904,0.06051213685533134
50,Fuel Cylinder 3,0.01636774008356054,0.10692435330175101,13.135672373512463,1.404523273721497,0.001,7.416686674185871,0.007321359095669972,5.881613694687643,5.888935053783313,0.014637943967009712
51,Fuel Dome Bottom 3,0.185,1.6679889426335521,13.048972064878681,21.765541116951752,0.001,7.329986365552089,0.10275645881093996,89.61887770086545,89.7216341596764,0.06051213685533134
52,Fuel Insulation 3,0.38636774008356056,0.0,13.135672373512463,0.0,0.0,7.416686674185871,0,0.0,0.0,0
53,Fuel Residual 3, ,1.8100303809383758,13.034988503470684,23.59372520646439,0.0,7.316002804144092,0,96.87987973095933,96.87987973095933,0
54,Intertank 3,0.5549999999999999,3.6256084089504115,12.849988503470684,46.58902637309942,0.001,7.131002804144091,0.3412377314399015,184.36654192440014,184.70777965584003,0.4963457911853113
55,Ox Dome Top 3,0.185,1.6620530389231123,12.651004942062686,21.0266412093866,0.001,6.932019242736094,0.10239077746285832,79.86645315270421,79.96884393016707,0.06029679117257214
56,Ox Cylinder 3,0.2636277251564965,1.7160530358421424,12.440674640892436,21.348857485427818,0.001,6.721688941565843,0.12740257704582636,77.53316763962677,77.6605702166726,0.2349276606067893
57,Ox Dome Bottom 3,0.185,1.6620530389231123,12.230344339722185,20.327480976911342,0.001,6.511358640395593,0.10239077746285832,70.46737794668114,70.569768724144,0.06029679117257214
58,Ox Insulation 3,0.6336277251564966,2.0214638159542986,12.440674640892436,25.148373632624295,0.0,6.721688941565843,0.04448150622141524,91.3319633171534,91.37644482337481,0.04803007024602133
59,Ox Residual 3, ,4.235471091395799,12.216360778314188,51.742042918611226,0.0,6.497375078987596,0,178.80415169291106,178.80415169291106,0
60,Pressurant Tank 3,0.36876711021817543,1.2004955448207655,12.440674640892436,14.934974480956045,0.001,6.721688941565843,0.1643478400859628,54.23971193380741,54.40405977389337,0.10956522672397519
61,Aft Skirt 3,0.43166666666666664,2.819917651405876,12.093027444980853,34.10134155103721,0.001,6.374041745654261,0.23681107064011128,114.56876536217314,114.80557643281325,0.3860467264774644
62,Thrust Structure 3,0.21583333333333332,0.959838214627728,11.985110778314187,11.503767331572629,0.0,6.266125078987595,0,37.68739817210125,37.68739817210125,0
63,Gimballs 3, ,0.15076224285571044,12.185145660990141,1.837059889374402,0.0,6.466159961663549,0,6.303554004750943,6.303554004750943,0
64,Engines 3,0.3079515493426202,25.534715307277754,11.96969411164752,305.6427314561183,0.0,6.250708412320928,0,997.6759433417718,997.6759433417718,0
65,Fuel 3,0.38636774008356056,90.90903217639271,13.124980544261767,1193.1792786128212,0.0,7.405994844935175,0,4986.247655239479,4986.247655239479,0
66,Oxidizer 3,0.6336277251564966,212.7271352927589,12.397675275202856,2637.32194558377,0.0,6.678689575876263,0,9488.67141657972,9488.67141657972,0
25,Forward Skirt 2,0.6454515493426203,4.708083782853826,11.543973189832428,54.349992964749404,0.001,5.824987490505836,0.5624143197764333,159.7475391698834,160.30995348965982,0.7989618179502943
26,Avionics 2, ,0.84,11.543973189832428,9.696937479459239,0.0,5.824987490505836,0.08505,28.501602582221558,28.586652582221557,0.1701
27,Wiring 2,2.9475129185217086,5.011135450828613,0,0,0.0,0,3.627992079567772,0.0,3.627992079567772,0
28,Fuel Dome Top 2,0.225,2.467259027635459,11.327235528160038,27.947224115005962,0.001,5.608249828833446,0.22482897889328124,77.60138103175407,77.82621001064736,0.13239928757048786
29,Fuel Cylinder 2,0.4007615861063326,3.184085996869446,11.031361769251735,35.124804535875406,0.001,5.3123760699251426,0.36500500475277436,89.85917194131885,90.22417694607162,0.6447774143660628
30,Fuel Dome Bottom 2,0.225,2.467259027635459,10.735488010343431,26.487229709592064,0.001,5.016502311016839,0.22482897889328124,62.08930234866332,62.314131327556595,0.13239928757048786
31,Fuel Insulation 2,0.8507615861063327,0.0,11.031361769251735,0.0,0.0,5.3123760699251426,0,0.0,0.0,0
32,Fuel Residual 2, ,7.1328841406878585,10.718480976198567,76.45368296739127,0.0,4.999495276871975,0,178.28610401831284,178.28610401831284,0
33,Intertank 2,0.675,5.362934279126796,10.493480976198569,56.27584883462023,0.001,4.774495276871977,0.7466210066721837,122.25240485318515,122.99902585985734,1.0859941915231763
34,Ox Dome Top 2,0.225,2.4584787463983226,10.251473942053707,25.20303080579527,0.001,4.532488242727115,0.22402887576554717,50.50563439252837,50.72966326829392,0.13192811572860003
35,Ox Cylinder 2,0.9717513324153758,7.69317405452124,9.670105309990882,74.39380327530992,0.001,3.95111961066429,1.3843229793558331,120.10080337101513,121.48512635037096,1.5578677460405512
36,Ox Dome Bottom 2,0.225,2.4584787463983226,9.088736677928058,22.344465954297025,0.001,3.3697509786014654,0.22402887576554717,27.916571106307664,28.140599982073212,0.13192811572860003
37,Ox Insulation 2,1.4217513324153759,5.057563474156423,9.670105309990882,48.907171407055955,0.0,3.95111961066429,0.37375835290957954,78.95537421113103,79.3291325640406,0.4018188930483291
38,Ox Residual 2, ,16.690948889209587,9.071729643783193,151.41577582111276,0.0,3.352743944456601,0,187.62115312492313,187.62115312492313,0
39,Pressurant Tank 2,0.4498110283907806,1.7861436789238263,9.670105309990882,17.272197473967942,0.001,3.95111961066429,0.36169409498207483,27.884107294926118,28.24580138990819,0.24112939665471655
40,Aft Skirt 2,0.9,7.150579038835729,8.734229643783195,62.45479941121377,0.001,3.0152439444566026,1.2066602128035293,65.01089116385528,66.2175513766588,1.4479922553642353
41,Thrust Structure 2,0.45,3.509791877935476,8.509229643783195,29.865625091238044,0.0,2.790243944456603,0,27.32534872994167,27.32534872994167,0
42,Gimballs 2, ,0.5083738577281414,8.87310597985864,4.510855117011376,0.0,3.154120280532047,0,5.057544484150576,5.057544484150576,0
43,Engines 2,0.5888763360754448,34.92521477810649,8.396729643783194,293.2575862428217,0.0,2.6777439444566022,0,250.42470870135463,250.42470870135463,0
44,Fuel 2,0.8507615861063327,358.1343396944417,11.019766618975796,3946.5568416737465,0.0,5.3007809196492035,0,10062.958366334873,10062.958366334873,0
45,Oxidizer 2,1.4217513324153759,838.0343548849934,9.609335570980269,8052.953336099869,0.0,3.890349871653677,0,12683.500894881365,12683.500894881365,0
4,Forward Skirt 1,0.9263763360754448,7.360141345349463,7.821041475745471,57.563970729327224,0.001,2.1020557764188785,1.2715705972864288,32.52180381961629,33.793374416902715,1.4904286224332663
5,Avionics 1, ,0.84,7.821041475745471,6.569674839626195,0.0,2.1020557764188785,0.08505,3.711656329227818,3.796706329227818,0.1701
6,Wiring 1,7.357853307707748,11.477027463601281,0,0,0.0,0,51.77861446890172,0.0,51.77861446890172,0
7,Fuel Dome Top 1,0.225,2.467259027635459,7.453346273562885,18.389335879541136,0.001,1.7343605742362929,0.22482897889328124,7.421531442652178,7.6463604215454595,0.13239928757048786
8,Fuel Cylinder 1,2.029481946932411,24.1866184490507,6.3431123342415425,153.41843780776756,0.0015,0.6241266349149504,10.750542689069015,9.421511595305946,20.17205428437496,4.897790235932767
9,Fuel Dome Bottom 1,0.225,2.467259027635459,5.2328783949202,12.910866460385416,0.001,-0.48610730440639216,0.22482897889328124,0.5830140765279322,0.8078430554212135,0.13239928757048786
10,Fuel Insulation 1,2.479481946932411,0.0,6.3431123342415425,0.0,0.0,0.6241266349149504,0,0.0,0.0,0
11,Fuel Residual 1, ,23.711238122535434,5.2158713607753375,123.67476785185696,0.0,-0.5031143385512546,0,6.0018843313958765,6.0018843313958765,0
12,Intertank 1,0.675,5.362934279126796,4.990871360775337,26.765715103414255,0.001,-0.7281143385512552,0.7466210066721837,2.8431622359379545,3.589783242610138,1.0859941915231763
13,Ox Dome Top 1,0.225,2.4584787463983226,4.748864326630474,11.674982016550203,0.001,-0.9701213726961182,0.22402887576554717,2.313761569558818,2.537790445324365,0.13192811572860003
14,Ox Cylinder 1,3.753371360775337,44.572111516319154,2.7766856803876685,123.76274379200568,0.0015,-2.9423000189389237,56.83982960948008,385.8665370925451,442.7063667020252,9.025852582054629
15,Ox Dome Bottom 1,0.225,2.4584787463983226,0.8045070341448628,1.977863444773095,0.001,-4.914478665181729,0.22402887576554717,59.37742588434436,59.60145476010991,0.13192811572860003
16,Ox Insulation 1,4.203371360775337,13.88978479272437,2.7766856803876685,38.56756653762416,0.0,-2.9423000189389237,13.052871070676735,120.24566430887933,133.29853537955606,2.0782109066631294
17,Ox Residual 1, ,55.4842972067329,0.7874999999999999,43.69388405030215,0.0,-4.9314856993265925,0,1349.3532068628951,1349.3532068628951,0
18,Pressurant Tank 1,0.44959776496647746,1.784450395331575,2.7766856803876685,4.954857860079298,0.001,-2.9423000189389237,0.36135120505464396,15.448217982850467,15.809569187905112,0.2409008033697626
19,Aft Skirt 1,0.9,13.586100173787885,0.44999999999999996,6.1137450782045475,0.0019,-5.268985699326592,2.2926544043267056,377.18017017760053,379.4728245819272,2.751185285192047
20,Thrust Structure 1,0.45,15.188008638308448,0.22499999999999998,3.4173019436194005,0.0,-5.4939856993265925,0,458.4330129302406,458.4330129302406,0
21,Gimballs 1, ,2.007423313157095,1.2249936516029045,2.459080814697111,0.0,-4.493992047723688,0,40.54185001918617,40.54185001918617,0
22,Engines 1,1.2249936516029045,77.93159951619285,0.1125,8.767304945571695,0.0,-5.606485699326592,0,2449.599177297686,2449.599177297686,0
23,Fuel 1,2.479481946932411,1192.0101938031219,6.319539291166982,7532.955255210398,0.0,0.6005535918403897,0,429.9158996175883,429.9158996175883,0
24,Oxidizer 1,4.203371360775337,2789.3038534993048,2.672230843971221,7453.663790528625,0.0,-3.0467548553553714,0,25892.313135014298,25892.313135014298,0
