,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,11.603435489037182,,,,,,,
1,PLF,1.36,7.652035599957601,10.750298609910127,82.261667673207,0.001,6.256343334709171,0.4071950939918041,299.5146913128633,299.9218864068551,0.5648991162422539
2,Payload,1.36,30,10.473435489037183,314.2030646711155,0.0,5.979480213836227,2.04775,1072.6255088297678,1074.6732588297677,3.0375
3,PAF, ,7,10.243435489037182,71.70404842326028,0.0,5.749480213836226,0.70875,231.3956591050598,232.1044091050598,1.4175
25,Forward Skirt 2,0.525,4.007886827817178,9.980935489037183,40.00245987580513,0.001,5.486980213836227,0.49785469189291515,120.66525581359633,121.16311050548924,0.8115970826329787
26,Avionics 2, ,0.84,9.980935489037183,8.383985810791234,0.0,5.486980213836227,0.08505,25.289839568305407,25.374889568305406,0.1701
27,Wiring 2,2.9829093521398646,4.457595058984888,0,0,0.0,0,3.30521320217971,0.0,3.30521320217971,0
28,Fuel Dome Top 2,0.225,2.4584787463983226,9.81392845489232,24.127334525026498,0.001,5.319973179691364,0.22402887576554717,69.58014730246322,69.80417617822876,0.13192811572860003
29,Fuel Cylinder 2,0.4681478072682722,3.7062388745125996,9.484361585403047,35.151309607754726,0.001,4.990406310202091,0.44294569383491916,92.30074792011436,92.74369361394928,0.7505133720888014
30,Fuel Dome Bottom 2,0.225,2.4584787463983226,9.154794715913773,22.506868236713682,0.001,4.6608394407128175,0.22402887576554717,53.406576921131126,53.630605796896674,0.13192811572860003
31,Fuel Insulation 2,0.9181478072682723,0.0,9.484361585403047,0.0,0.0,4.990406310202091,0,0.0,0.0,0
32,Fuel Residual 2, ,3.995937616731372,9.13778768176891,36.51402953128494,0.0,4.643832406567953,0,86.17311165710088,86.17311165710088,0
33,Intertank 2,0.675,5.152997350050659,8.912787681768911,45.927571305719354,0.001,4.418832406567955,0.7173938498273652,100.61783765866562,101.33523150849298,1.0434819633852586
34,Ox Dome Top 2,0.225,2.4584787463983226,8.67078064762405,21.31692993686561,0.001,4.176825372423093,0.22402887576554717,42.89030107876104,43.11432995452659,0.13192811572860003
35,Ox Cylinder 2,0.7897615448715923,6.252394849989927,8.180406909333115,51.14713403073639,0.001,3.686451634132159,0.9580353397881992,84.96958115078084,85.92761649056904,1.2661099571229604
36,Ox Dome Bottom 2,0.225,2.4584787463983226,7.690033171042181,18.9057831101053,0.001,3.196077895841225,0.22402887576554717,25.113148759474814,25.337177635240362,0.13192811572860003
37,Ox Insulation 2,1.2397615448715924,4.479708100339043,8.180406909333115,36.64583509580903,0.0,3.686451634132159,0.2546450574434416,60.878900020874696,61.133545078318136,0.3075503666461091
38,Ox Residual 2, ,14.185578539396372,7.673026136897319,108.84631489979806,0.0,3.1790708616963634,0,143.36642955071522,143.36642955071522,0
39,Pressurant Tank 2,0.44862857283383933,1.7072121657765116,8.180406909333115,13.965690196615727,0.001,3.686451634132159,0.3457104635697436,23.20088640303664,23.546596866606386,0.23047364237982904
40,Aft Skirt 2,0.525,4.007886827817178,7.523026136897318,30.151437359395114,0.001,3.029070861696362,0.49785469189291515,36.773444917627046,37.271299609519964,0.8115970826329787
41,Thrust Structure 2,0.2625,2.698733614491631,7.3917761368973185,19.948434731441886,0.0,2.8978208616963625,0,22.662253213213333,22.662253213213333,0
42,Gimballs 2, ,0.13787698315651684,7.862590356145135,1.0840702381008145,0.0,3.3686350809441787,0,1.564586960063569,1.564586960063569,0
43,Engines 2,0.6020642192478166,32.65805545659352,7.373026136897318,240.7886964617061,0.0,2.879070861696362,0,270.7042227953798,270.7042227953798,0
44,Fuel 2,0.9181478072682723,200.51562416414444,9.467839637786,1898.449774456687,0.0,4.973884362585044,0,4960.661427709438,4960.661427709438,0
45,Oxidizer 2,1.2397615448715924,711.8304657827128,8.123151662245371,5782.3068313597405,0.0,3.6291963870444155,0,9375.566341568572,9375.566341568572,0
4,Forward Skirt 1,0.9395642192478166,8.535511998613087,6.790744027273409,57.96247712430234,0.0011899999999999999,2.2967887520724535,1.4921361859139417,45.026862123835585,46.51899830974953,1.7284411797191501
5,Avionics 1, ,0.84,6.790744027273409,5.704224982909664,0.0,2.2967887520724535,0.08505,4.431200400183092,4.516250400183091,0.1701
6,Wiring 1,6.320961917649501,9.104862376739383,0,0,0.0,0,30.315063846406083,0.0,30.315063846406083,0
7,Fuel Dome Top 1,0.225,2.4584787463983226,6.416454883504638,15.774717958319878,0.001,1.9224996083036823,0.22402887576554717,9.0865491095339,9.310577985299448,0.13192811572860003
8,Fuel Cylinder 1,1.970092657266377,16.84460460935948,5.335915589016313,89.88138832589729,0.00108,0.8419603138153571,7.153714185584697,11.941092538018594,19.09480672360329,3.411032433395295
9,Fuel Dome Bottom 1,0.225,2.4584787463983226,4.255376294527987,10.461752178024305,0.001,-0.238578980672969,0.22402887576554717,0.13993643819807564,0.3639653139636228,0.13192811572860003
10,Fuel Insulation 1,2.4200926572663772,0.0,5.335915589016313,0.0,0.0,0.8419603138153571,0,0.0,0.0,0
11,Fuel Residual 1, ,11.809118709712514,4.2383692603831244,50.05140573146075,0.0,-0.2555860148178315,0,0.7714213619684758,0.7714213619684758,0
12,Intertank 1,0.675,7.781025998576495,4.013369260383124,31.228130556928807,0.00151,-0.48058601481783203,1.0832647132393214,1.7971284668521372,2.880393180091459,1.5756577647117402
13,Ox Dome Top 1,0.225,2.4584787463983226,3.771362226238261,9.271813878176227,0.001,-0.722593048962695,0.22402887576554717,1.283671849004264,1.507700724769811,0.13192811572860003
