,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,11.603435489037182,,,,,,,
1,PLF,1.36,7.652035599957601,10.750298609910127,82.261667673207,0.001,6.465276619715577,0.4071950939918041,319.8535712109323,320.26076630492406,0.5648991162422539
2,Payload,1.36,30,10.473435489037183,314.2030646711155,0.0,6.188413498842633,2.04775,1148.8938489797315,1150.9415989797315,3.0375
3,PAF, ,7,10.243435489037182,71.70404842326028,0.0,5.958413498842632,0.70875,248.5188399623307,249.2275899623307,1.4175
25,Forward Skirt 2,0.525,4.007886827817178,9.980935489037183,40.00245987580513,0.001,5.695913498842633,0.49785469189291515,130.0295980960236,130.5274527879165,0.8115970826329787
26,Avionics 2, ,0.84,9.980935489037183,8.383985810791234,0.0,5.695913498842633,0.08505,27.252481692490086,27.337531692490085,0.1701
27,Wiring 2,2.9829093521398646,4.457595058984888,0,0,0.0,0,3.30521320217971,0.0,3.30521320217971,0
28,Fuel Dome Top 2,0.225,2.4584787463983226,9.81392845489232,24.127334525026498,0.001,5.52890646469777,0.22402887576554717,75.1527615633426,75.37679043910813,0.13192811572860003
29,Fuel Cylinder 2,0.4681478072682722,3.7062388745125996,9.484361585403047,35.151309607754726,0.001,5.199339595208497,0.44294569383491916,100.19124555696298,100.6341912507979,0.7505133720888014
30,Fuel Dome Bottom 2,0.225,2.4584787463983226,9.154794715913773,22.506868236713682,0.001,4.869772725719224,0.22402887576554717,58.30205249229185,58.5260813680574,0.13192811572860003
31,Fuel Insulation 2,0.9181478072682723,0.0,9.484361585403047,0.0,0.0,5.199339595208497,0,0.0,0.0,0
32,Fuel Residual 2, ,3.995937616731372,9.13778768176891,36.51402953128494,0.0,4.852765691574359,0,94.10167300537297,94.10167300537297,0
33,Intertank 2,0.675,5.152997350050659,8.912787681768911,45.927571305719354,0.001,4.6277656915743615,0.7173938498273652,110.35770066898327,111.07509451881063,1.0434819633852586
34,Ox Dome Top 2,0.225,2.4584787463983226,8.67078064762405,21.31692993686561,0.001,4.385758657429499,0.22402887576554717,47.28854121403737,47.51257008980292,0.13192811572860003
35,Ox Cylinder 2,0.7897615448715923,6.252394849989927,8.180406909333115,51.14713403073639,0.001,3.895384919138565,0.9580353397881992,94.87398743700511,95.83202277679331,1.2661099571229604
36,Ox Dome Bottom 2,0.225,2.4584787463983226,7.690033171042181,18.9057831101053,0.001,3.405011180847631,0.22402887576554717,28.503851240455536,28.727880116221083,0.13192811572860003
37,Ox Insulation 2,1.2397615448715924,4.479708100339043,8.180406909333115,36.64583509580903,0.0,3.895384919138565,0.2546450574434416,67.9751967414056,68.22984179884904,0.3075503666461091
38,Ox Residual 2, ,14.185578539396372,7.673026136897319,108.84631489979806,0.0,3.3880041467027695,0,162.83018601736902,162.83018601736902,0
39,Pressurant Tank 2,0.44862857283383933,1.7072121657765116,8.180406909333115,13.965690196615727,0.001,3.895384919138565,0.3457104635697436,25.905277810220827,26.250988273790572,0.23047364237982904
40,Aft Skirt 2,0.525,4.007886827817178,7.523026136897318,30.151437359395114,0.001,3.2380041467027683,0.49785469189291515,42.02137421000309,42.51922890189601,0.8115970826329787
41,Thrust Structure 2,0.2625,2.698733614491631,7.3917761368973185,19.948434731441886,0.0,3.1067541467027686,0,26.047964532450326,26.047964532450326,0
42,Gimballs 2, ,0.13787698315651684,7.862590356145135,1.0840702381008145,0.0,3.577568365950585,0,1.7646868749854776,1.7646868749854776,0
43,Engines 2,0.6020642192478166,32.65805545659352,7.373026136897318,240.7886964617061,0.0,3.088004146702768,0,311.4196927464261,311.4196927464261,0
44,Fuel 2,0.9181478072682723,200.51562416414444,9.467839637786,1898.449774456687,0.0,5.18281764759145,0,5386.170243049503,5386.170243049503,0
45,Oxidizer 2,1.2397615448715924,711.8304657827128,8.123151662245371,5782.3068313597405,0.0,3.8381296720508216,0,10486.144989049717,10486.144989049717,0
4,Forward Skirt 1,0.9395642192478166,8.535511998613087,6.790744027273409,57.96247712430234,0.0011899999999999999,2.5057220370788595,1.4921361859139417,53.59143203929169,55.08356822520563,1.7284411797191501
5,Avionics 1, ,0.84,6.790744027273409,5.704224982909664,0.0,2.5057220370788595,0.08505,5.274060058766209,5.359110058766209,0.1701
6,Wiring 1,6.320961917649501,9.104862376739383,0,0,0.0,0,30.315063846406083,0.0,30.315063846406083,0
7,Fuel Dome Top 1,0.225,2.4584787463983226,6.416454883504638,15.774717958319878,0.001,2.1314328933100883,0.22402887576554717,11.168884135051401,11.39291301081695,0.13192811572860003
8,Fuel Cylinder 1,1.970092657266377,16.84460460935948,5.335915589016313,89.88138832589729,0.00108,1.0508935988217631,7.153714185584697,18.602799902100376,25.756514087685073,3.411032433395295
9,Fuel Dome Bottom 1,0.225,2.4584787463983226,4.255376294527987,10.461752178024305,0.001,-0.029645695666562943,0.22402887576554717,0.0021606765080217447,0.2261895522735689,0.13192811572860003
10,Fuel Insulation 1,2.4200926572663772,0.0,5.335915589016313,0.0,0.0,1.0508935988217631,0,0.0,0.0,0
11,Fuel Residual 1, ,11.809118709712514,4.2383692603831244,50.05140573146075,0.0,-0.04665272981142543,0,0.025702277610295074,0.025702277610295074,0
12,Intertank 1,0.675,7.781025998576495,4.013369260383124,31.228130556928807,0.00151,-0.27165272981142596,1.0832647132393214,0.574202413452829,1.6574671266921503,1.5756577647117402
13,Ox Dome Top 1,0.225,2.4584787463983226,3.771362226238261,9.271813878176227,0.001,-0.513659763956289,0.22402887576554717,0.6486606514298165,0.8726895271953637,0.13192811572860003
14,Ox Cylinder 1,2.7758692603831236,31.205975662407177,2.287934630191562,71.39723238693645,0.00142,-1.997087360002988,23.19761252514228,124.46060029320128,147.65821281834357,6.319210071637453
15,Ox Dome Bottom 1,0.225,2.4584787463983226,0.8045070341448628,1.977863444773095,0.001,-3.480514956049687,0.22402887576554717,29.78197308150524,30.006001957270787,0.13192811572860003
16,Ox Insulation 1,3.225869260383124,10.786012601696768,2.287934630191562,24.67769175310462,0.0,-1.997087360002988,5.370533049489318,43.01847882277239,48.389011872261705,1.4681741032582416
17,Ox Residual 1, ,41.922371419479425,0.7875000000000001,33.01386749284005,0.0,-3.49752199019455,0,512.8221189821949,512.8221189821949,0
18,Pressurant Tank 1,0.4498867542411125,1.7168013660650066,2.287934630191562,3.927929298580309,0.001,-1.997087360002988,0.34765227662816384,6.847218331393016,7.19487060802118,0.2317681844187759
19,Aft Skirt 1,0.9,13.397793110131712,0.44999999999999996,6.02900689955927,0.00195,-3.8350219901945497,2.2608775873347264,197.0466175166264,199.30749510396114,2.7130531048016717
20,Thrust Structure 1,0.45,10.312708466735243,0.22499999999999998,2.3203594050154295,0.0,-4.06002199019455,0,169.99240272840402,169.99240272840402,0
21,Gimballs 1, ,0.4845250100633651,1.1769261366177572,0.5702501481885562,0.0,-3.108095853576793,0,4.680637493778394,4.680637493778394,0
22,Engines 1,1.1769261366177572,62.72777622657303,0.1125,7.056874825489466,0.0,-4.17252199019455,0,1092.0868052991586,1092.0868052991586,0
23,Fuel 1,2.4200926572663772,593.2024794052994,5.299065100449199,3143.418556116557,0.0,1.014043110254649,0,609.9802798840441,609.9802798840441,0
24,Oxidizer 1,3.225869260383124,2105.868801888813,2.2007907490075955,4634.576577820609,0.0,-2.0842312411869544,0,9147.93591215236,9147.93591215236,0
