Zephyr Mission 2,Stage 3,Stage 2,Stage 1
Sigma,0.11,0.11,0.11
Isp,380,380,330
%DV Split,0.4,0.45,0.15
Propellant Mass,319.868687070785,888.044633005801,2621.64483492655
Structural mass,39.5343321098723,109.758325427683,324.023518923506
Total Stage Mass,454.403019180658,997.802958433484,2945.66835385005
Total Mass, , ,4397.8743314642
