Latona Mission 2,Stage 2,Stage 1,Stage 0
Sigma,0.2,0.13,0.13
Isp,380,265,265
%DV Split,0.316031724535117,0.418174393608081,0.265793881856801
Propellant Mass,320.883157337782,6096.79465187064,11279.3542955749
Structural mass,80.2207893344455,911.015292808256,1685.42075681005
Total Stage Mass,496.103946672227,7007.80994467889,12964.775052385
Total Mass, , ,20468.6889437361
