Minerva Mission 1,Stage 3,Stage 2,Stage 1
Sigma,0.11,0.11,0.11
Isp,359.1,359.1,296.1
%DV Split,0,0.92354509172906,0.201928150083638
Propellant Mass,0,1162.95549844148,3861.01910355334
Structural mass,0,143.736072841081,477.204608304346
Total Stage Mass,0,1336.69157128256,4338.22371185769
Total Mass, , ,5704.91528314024
