Latona Mission 1,Stage 2,Stage 1,Stage 0
Sigma,0.2,0.13,0.13
Isp,380,265,265
%DV Split,0.65,0.35,0
Propellant Mass,320.883157337782,6096.79465187064,0
Structural mass,80.2207893344455,911.015292808256,0
Total Stage Mass,431.103946672227,7007.80994467889,0
Total Mass, , ,7438.91389135112
