Minerva Mission 2,Stage 3,Stage 2,Stage 1
Sigma,0.11,0.11,0.11
Isp,359.1,359.1,296.1
%DV Split,0.35,0.5,0.15
Propellant Mass,295.013705651241,1162.95549844148,3861.01910355334
Structural mass,36.4623681141983,143.736072841081,477.204608304346
Total Stage Mass,426.476073765439,1306.69157128256,4338.22371185769
Total Mass, , ,6071.39135690568
