Stage #,Radius,Initial Stage Mass,Empty Stage Mass,Propellant Mass,Thrust,Structural Mass Ratio,Isp
1,0.275,13043.364014615125,1661.6385679439645,11381.72544667116,508564.04506988544,0.11,265
2,0.275,7128.727161178818,875.2060704461182,6253.5210907327,96212.39515157932,0.11,265
3,0.275,387.0949828701636,57.442686312868375,329.65229655729524,3804.9169667698748,0.11,380
