Stage #,Radius,Initial Stage Mass,Empty Stage Mass,Propellant Mass,Thrust,Structural Mass Ratio,Isp
1,0.45,4288.547258062712,307.23321076028515,3981.314047302427,59560.818189444886,0.11,296.1
2,0.45,1309.581083427286,113.41238884785116,1196.168694579435,13763.889717394024,0.11,359.1
3,0.37,360.6316903207836,56.99552285163202,303.6361674691516,3764.0714299126585,0.11,359.1
