Stage #,Radius,Initial Stage Mass,Empty Stage Mass,Propellant Mass,Thrust,Structural Mass Ratio,Isp
1,0.45,2936.3742838358585,237.30300254174608,2699.0712812941124,40441.99398719703,0.11,330
2,0.45,1010.468107198108,98.12201725125067,912.3460899468573,10583.26907643777,0.11,380
