Stage #,Radius,Initial Stage Mass,Empty Stage Mass,Propellant Mass,Thrust,Structural Mass Ratio,Isp
1,0.45,4288.547257575241,307.2332102728142,3981.314047302427,59560.818189444886,0.11,296.1
2,0.45,1306.185248134395,110.01655355495996,1196.168694579435,13763.889717394024,0.11,359.1
