Stage #,Radius,Initial Stage Mass,Empty Stage Mass,Propellant Mass,Thrust,Structural Mass Ratio,Isp
1,0.45,2936.293870188681,237.22258889456862,2699.0712812941124,40441.99398719703,0.11,330
2,0.45,1013.7616543426959,101.60647348674775,912.1551808559482,10274.359601437813,0.11,380
3,0.39,389.9841651418908,61.0759060432502,328.9082590986406,4275.3337812432,0.11,380
