Stage #,Radius,Initial Stage Mass,Empty Stage Mass,Propellant Mass,Thrust,Structural Mass Ratio,Isp
1,0.275,7128.727161178818,875.2060704461182,6253.5210907327,96212.39515157932,0.11,265
2,0.275,386.8948805928268,57.242584035531536,329.65229655729524,3804.9169667698748,0.11,380
